./2016.q1-q3.by_area/2016.q1-q3 01000 Alabama -- Statewide.csv:"01000","5","10","51","0","2016","1","","Alabama -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",114389,1525311,1533261,1542732,16485428070,8876374549,141466620,827,"",0.98,0.96,0.96,0.96,0.94,1.00,1.00,0.98,"",3302,3.0,30074,2.0,29262,1.9,29759,2.0,214083636,1.3,230468636,2.7,-34359487,-19.5,-5,-0.6
./2016.q1-q3.by_area/2016.q1-q3 01000 Alabama -- Statewide.csv:"01000","5","10","51","0","2016","2","","Alabama -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",115458,1559060,1559958,1561320,16616430925,2566552356,41818214,819,"",0.98,0.96,0.96,0.96,0.95,1.02,1.00,0.99,"",3332,3.0,32831,2.2,25123,1.6,22509,1.5,658776957,4.1,50097635,2.0,-11225643,-21.2,18,2.2
./2016.q1-q3.by_area/2016.q1-q3 01000 Alabama -- Statewide.csv:"01000","5","10","51","0","2016","3","","Alabama -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",116439,1558820,1561521,1562722,17165648388,1642487377,26945137,846,"",0.98,0.95,0.95,0.96,0.93,1.02,1.00,0.98,"",3311,2.9,20850,1.4,20719,1.3,23590,1.5,1056491247,6.6,57604147,3.6,-6636257,-19.8,41,5.1
./2016.q1-q3.by_area/2016.q1-q3 02000 Alaska -- Statewide.csv:"02000","5","10","51","0","2016","1","","Alaska -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",19825,234954,238099,239589,3128130214,2603393030,48351479,1013,"",0.93,0.89,0.89,0.89,0.88,0.99,0.98,0.99,"",32,0.2,-2741,-1.2,-2693,-1.1,-3425,-1.4,-150627786,-4.6,-110835156,-4.1,-8009826,-14.2,-36,-3.4
./2016.q1-q3.by_area/2016.q1-q3 02000 Alaska -- Statewide.csv:"02000","5","10","51","0","2016","2","","Alaska -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",20083,244153,254998,267746,3205867889,2157749494,41603290,965,"",0.93,0.89,0.90,0.93,0.87,0.99,0.98,0.96,"",-36,-0.2,-3141,-1.3,-4756,-1.8,-6355,-2.3,-166717479,-4.9,-23679242,-1.1,-5564367,-11.8,-31,-3.1
./2016.q1-q3.by_area/2016.q1-q3 02000 Alaska -- Statewide.csv:"02000","5","10","51","0","2016","3","","Alaska -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",20241,279117,274474,259151,3615675045,1822511367,37477597,1027,"",0.93,0.95,0.94,0.90,0.91,1.00,0.98,0.98,"",-119,-0.6,-6500,-2.3,-6308,-2.2,-8168,-3.1,-71355740,-1.9,8047146,0.4,-4497794,-10.7,6,0.6
./2016.q1-q3.by_area/2016.q1-q3 04000 Arizona -- Statewide.csv:"04000","5","10","51","0","2016","1","","Arizona -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",148057,2258190,2272755,2280744,27067593064,12135703403,280576238,917,"",1.01,1.01,1.01,1.01,1.00,1.00,0.99,0.99,"",5344,3.7,69821,3.2,71612,3.3,73250,3.3,511021737,1.9,446427414,3.8,10025639,3.7,-12,-1.3
./2016.q1-q3.by_area/2016.q1-q3 04000 Arizona -- Statewide.csv:"04000","5","10","51","0","2016","2","","Arizona -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",150389,2286344,2278613,2265668,26771247806,3132907207,71150229,904,"",1.01,1.01,1.01,1.02,1.00,1.01,1.00,0.99,"",5294,3.6,76725,3.5,70286,3.2,66168,3.0,1427871486,5.6,98664435,3.3,2498619,3.6,20,2.3
./2016.q1-q3.by_area/2016.q1-q3 04000 Arizona -- Statewide.csv:"04000","5","10","51","0","2016","3","","Arizona -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",151885,2267684,2280615,2296993,27729927223,2207447514,52270564,935,"",1.01,1.02,1.00,1.00,1.00,1.02,1.00,0.99,"",4566,3.1,72073,3.3,69125,3.1,77975,3.5,2552443097,10.1,145606632,7.1,3850682,8.0,58,6.6
./2016.q1-q3.by_area/2016.q1-q3 05000 Arkansas -- Statewide.csv:"05000","5","10","51","0","2016","1","","Arkansas -- Statewide","Private","Total, all industries","State, Total -- by ownership sector","All establishment sizes",83674,970868,978334,985334,10115479414,6491768243,135129998,795,"",0.98,0.98,0.98,0.98,0.98,1.00,1.00,1.00,"",486,0.6,18574,2.0,18463,1.9,24282,2.5,243766751,2.5,211939528,3.4,-35754692,-20.9,2,0.3
